filename,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
01 - Hit The Lights.mp3,-96.02967,56.97785,-16.497948,53.510128,-4.6576133,11.6669855,-4.1061974,15.894652,-4.3766274,15.058228,-5.5230293,9.959109,-11.5062065
02 - The Four Horsemen.mp3,-26.329678,66.03708,-38.154182,57.580906,-7.131023,10.68071,-2.586229,15.48706,-6.709661,14.076407,-8.139519,10.466774,-14.626652
03 - Motorbreath.mp3,-28.348095,64.8242,-22.340261,57.648537,-8.589565,17.804232,-6.8823943,19.238638,-7.456749,14.865362,-7.2502074,6.942669,-13.51807
04 - Jump In The Fire.mp3,-25.16142,67.71591,-18.343037,52.86532,-7.0875177,10.696971,-3.0524528,15.131399,-6.9142613,15.562383,-8.993375,10.990089,-17.145746
05 - (Anesthesia) Pulling Teeth.mp3,-150.56818,119.547646,-72.18797,54.17774,-11.839969,12.336917,-6.3401976,-3.663104,-2.2706459,-2.7265987,-9.692971,2.555025,-13.636123
06 - Whiplash.mp3,-86.25493,95.60716,-16.460718,68.49065,4.818194,17.852386,2.415375,16.399187,0.13024701,15.936281,-2.192082,10.200231,-13.744837
07 - Phantom Lord.mp3,-83.70191,92.84233,-26.532143,45.64688,-7.3055425,10.972169,-5.0398474,13.600637,-3.7589705,12.198182,-4.5141945,9.759042,-10.060533
08 - No Remorse.mp3,3.3662734,76.81606,-47.779736,49.507797,-7.3717647,14.879913,-2.4987245,14.67384,-1.7206466,21.045506,-8.941227,17.378927,-11.258918
09 - Seek & Destroy.mp3,-63.672417,62.434902,-34.30008,58.65029,-11.96192,8.1936035,-5.676414,9.274572,-6.0829687,8.309204,-10.309136,4.8022323,-19.072485
10 - Metal Militia.mp3,-45.848377,68.05132,-33.74864,50.555904,-5.863458,9.108542,-4.766491,12.670439,-4.893859,13.932189,-9.608369,11.327606,-17.100384
